,m3/s,km3/month
2009-09-01,0.390466667,0.00101209
2009-10-01,1.507,0.004036349
2009-11-01,3.400666667,0.008814528
2009-12-01,15.65409677,0.041927933
2010-01-01,13.77932258,0.03572
2010-02-01,23.14032143,0.05998
2010-03-01,15.27496774,0.03959
2010-04-01,5.029266667,0.01304
2010-05-01,0.695129032,0.0018
2010-06-01,0.1012,0.00026
2010-07-01,0.0,0.0
2010-08-01,0.0,0.0
2010-09-01,0.267633333,0.00069
2010-10-01,0.493516129,0.00128
2010-11-01,0.9483,0.00246
2010-12-01,5.735451613,0.01487
2011-01-01,4.626774194,0.01199
2011-02-01,18.24864286,0.0473
2011-03-01,20.00858065,0.05186
2011-04-01,13.81456667,0.03581
2011-05-01,12.97596774,0.03363
2011-06-01,4.129933333,0.0107
2011-07-01,0.685032258,0.00178
2011-08-01,0.659903226,0.00171
2011-09-01,0.411333333,0.00107
2011-10-01,0.869258065,0.00225
2011-11-01,1.589466667,0.00412
2011-12-01,3.117129032,0.00808
2012-01-01,11.73051613,0.03041
2012-02-01,22.24313793,0.05765
2012-03-01,32.5376129,0.08434
2012-04-01,29.52386667,0.07653
2012-05-01,11.33203226,0.02937
2012-06-01,2.6615,0.0069
2012-07-01,0.799129032,0.00207
2012-08-01,0.221548387,0.00057
2012-09-01,0.614266667,0.00159
2012-10-01,1.405193548,0.00364
2012-11-01,6.416466667,0.01663
2012-12-01,28.0033871,0.07258
2013-01-01,27.85522581,0.0722
2013-02-01,20.09767857,0.05209
2013-03-01,12.69370968,0.0329
2013-04-01,15.819,0.041
2013-05-01,2.379677419,0.00617
2013-06-01,0.378466667,0.00098
2013-07-01,0.321935484,0.00083
2013-08-01,0.0,0.0
2013-09-01,1.024133333,0.00265
2013-10-01,1.96616129,0.0051
2013-11-01,3.088166667,0.008
2013-12-01,4.709064516,0.01221
2014-01-01,3.698580645,0.00959
2014-02-01,3.128428571,0.00811
2014-03-01,3.611580645,0.00936
2014-04-01,1.087833333,0.00282
2014-05-01,0.58416129,0.00151
2014-06-01,0.677666667,0.00176
2014-07-01,0.606225806,0.00157
2014-08-01,0.592354839,0.00154
2014-09-01,0.0,0.0
2014-10-01,0.321258065,0.00083
2014-11-01,2.4208,0.00627
2014-12-01,2.592290323,0.00672
2015-01-01,9.405451613,0.02438
2015-02-01,15.22425,0.03946
2015-03-01,14.01251613,0.03632
2015-04-01,5.6716,0.0147
2015-05-01,1.364322581,0.00354
2015-06-01,0.254666667,0.00066
2015-07-01,0.062258065,0.00016
2015-08-01,0.0,0.0
2015-09-01,0.0,0.0
2015-10-01,0.032,8e-05
2015-11-01,0.333,0.00086
2015-12-01,0.258,0.00067
2016-01-01,6.161,0.01597
2016-02-01,6.345,0.01645
2016-03-01,10.065,0.02609
2016-04-01,2.3,0.00596
2016-05-01,0.774,0.00201
2016-06-01,0.4,0.00104
2016-07-01,0.0,0.0
2016-08-01,0.0,0.0
2016-09-01,0.448,0.00116
2016-10-01,0.449,0.00116
2016-11-01,0.970433333,0.00252
2016-12-01,7.773,0.02015
2017-01-01,8.607290323,0.023053766
2017-02-01,7.7155,0.018665338
2017-03-01,7.909967742,0.021186058
2017-04-01,3.8726,0.010037779
2017-05-01,1.393516129,0.003732394
2017-06-01,0.519333333,0.001346112
2017-07-01,0.447419355,0.001198368
2017-08-01,0.421774194,0.00112968
